Codigo_Externo,Nombre,Creditos,Horas_Semanales,Horas_Totales,Ciclo,Cuatrimestre_Sugerido,Tipo,Carrera,Correlativas
INF-001,Análisis Matemático II,8,8,128,Segundo Ciclo,3,Obligatoria,Ingeniería en Informática,CBC-03
INF-002,Fundamentos de Programación,6,6,96,Segundo Ciclo,3,Obligatoria,Ingeniería en Informática,CBC-06
INF-003,Introducción al Desarrollo de Software,6,6,96,Segundo Ciclo,3,Obligatoria,Ingeniería en Informática,CBC-06
INF-004,Álgebra Lineal,8,8,128,Segundo Ciclo,4,Obligatoria,Ingeniería en Informática,CBC-04
INF-005,Organización del Computador,6,6,96,Segundo Ciclo,4,Obligatoria,Ingeniería en Informática,INF-003;INF-002
INF-006,Algoritmos y Estructuras de Datos,6,6,96,Segundo Ciclo,4,Obligatoria,Ingeniería en Informática,INF-002
INF-007,Probabilidad y Estadística,6,6,96,Segundo Ciclo,5,Obligatoria,Ingeniería en Informática,INF-001;INF-004
INF-008,Teoría de Algoritmos,6,6,96,Segundo Ciclo,5,Obligatoria,Ingeniería en Informática,INF-006;INF-003
INF-009,Sistemas Operativos,6,6,96,Segundo Ciclo,5,Obligatoria,Ingeniería en Informática,INF-005
INF-010,Paradigmas de Programación,6,6,96,Segundo Ciclo,5,Obligatoria,Ingeniería en Informática,INF-006;INF-003
INF-011,Base de Datos,6,6,96,Segundo Ciclo,6,Obligatoria,Ingeniería en Informática,INF-005;INF-010
INF-012,Modelación Numérica,4,4,64,Segundo Ciclo,6,Obligatoria,Ingeniería en Informática,INF-001;INF-004;INF-006
INF-013,Taller de Programación,8,8,128,Segundo Ciclo,6,Obligatoria,Ingeniería en Informática,INF-005;INF-010
INF-014,Ingeniería de Software I,8,8,128,Segundo Ciclo,6,Obligatoria,Ingeniería en Informática,INF-010
INF-015,Ciencia de Datos,6,6,96,Segundo Ciclo,7,Obligatoria,Ingeniería en Informática,INF-007;INF-011;INF-012;INF-008
INF-016,Gestión del Desarrollo de Sistemas Informáticos,6,6,96,Segundo Ciclo,7,Obligatoria,Ingeniería en Informática,INF-014
INF-017,Programación Concurrente,6,6,96,Segundo Ciclo,7,Obligatoria,Ingeniería en Informática,INF-009;INF-013
INF-018,Redes,6,6,96,Segundo Ciclo,7,Obligatoria,Ingeniería en Informática,INF-009
INF-019,Física para Informática,4,4,64,Segundo Ciclo,8,Obligatoria,Ingeniería en Informática,120 Créditos
INF-020,Empresas de Base Tecnológica I,6,6,96,Segundo Ciclo,8,Obligatoria,Ingeniería en Informática,120 Créditos
INF-021,Ingeniería de Software II,8,8,128,Segundo Ciclo,8,Obligatoria,Ingeniería en Informática,INF-011;INF-014;INF-013
INF-022,Sistemas Distribuidos I,6,6,96,Segundo Ciclo,8,Obligatoria,Ingeniería en Informática,INF-017;INF-018
INF-023,Taller de Seguridad Informática,8,8,128,Segundo Ciclo,9,Obligatoria,Ingeniería en Informática,INF-018
INF-024,Tesis de Ingeniería Informática (Parte A),6,6,96,Segundo Ciclo,9,Obligatoria,Ingeniería en Informática,140 Créditos
INF-025,Empresas de Base Tecnológica II,6,6,96,Segundo Ciclo,10,Obligatoria,Ingeniería en Informática,INF-020
INF-026,Tesis de Ingeniería Informática (Parte B),6,6,96,Segundo Ciclo,10,Obligatoria,Ingeniería en Informática,INF-024
