Codigo_Externo,Nombre,Creditos,Horas_Semanales,Horas_Totales,Ciclo,Cuatrimestre_Sugerido,Tipo,Carrera,Correlativas
INF-027,Lenguajes y Compiladores I,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-005;INF-010;INF-008
INF-028,Fundamentos Matemáticos de la Criptografía,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-004
INF-029,Criptografía I,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-004;INF-008
INF-030,Criptografía II,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-028;INF-029
INF-031,Sistemas Distribuidos II,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-022
INF-032,Técnicas de Ingeniería Inversa,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-029;INF-023
INF-033,Criptoanálisis,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-029;INF-023
INF-034,Ingeniería de Datos,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-015;INF-021
INF-035,Optimización Convexa,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-015
INF-036,Aprendizaje Automático,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-015
INF-037,Aprendizaje Profundo,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-036
INF-038,Aprendizaje por Refuerzo,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-036
INF-039,Simulación,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-007;INF-012
INF-040,Sistemas Complejos,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-007;INF-012
INF-041,Redes Complejas,4,4,64,Electivas,Variable,Electiva,Ingeniería en Informática,INF-040;INF-043
INF-042,Teoría Algorítmica de Juegos,4,4,64,Electivas,Variable,Electiva,Ingeniería en Informática,INF-007;INF-008
INF-043,Teoría de Computabilidad,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-027;INF-008
INF-044,Teoría de la Información,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-007;INF-008
INF-045,Computación Cuántica,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-007
INF-046,Lenguajes y Compiladores II,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-027;INF-009
INF-047,Análisis Matemático III,6,6,96,Electivas,Variable,Electiva,Ingeniería en Informática,INF-001;INF-004
INF-048,Arquitectura de Software,4,4,64,Electivas,Variable,Electiva,Ingeniería en Informática,INF-014
