"ID_Evaluacion","ID_Inscripcion","Fecha_Lista","Nota","Estado","ERROR"
"45147679_GEN-101_2024-1_2024-03-01","45147679_GEN-101_2024-1","2024-03-01","10","Aprobado","storage limit exceeded"
"33789545_DAT-201_2024-1_2024-03-01","33789545_DAT-201_2024-1","2024-03-01","1","Desaprobado","storage limit exceeded"
"34250668_DEV-101_2024-1_2024-03-01","34250668_DEV-101_2024-1","2024-03-01","7","Aprobado","storage limit exceeded"
"41943395_GEN-101_2024-1_2024-03-01","41943395_GEN-101_2024-1","2024-03-01","8","Aprobado","storage limit exceeded"
"37706458_IA-300_2024-1_2024-03-01","37706458_IA-300_2024-1","2024-03-01","5","Aprobado","storage limit exceeded"
"30309712_NEG-400_2024-1_2024-03-01","30309712_NEG-400_2024-1","2024-03-01","3","Desaprobado","storage limit exceeded"
"43539600_NEG-400_2024-1_2024-03-02","43539600_NEG-400_2024-1","2024-03-02","5","Aprobado","storage limit exceeded"
"32343092_MKT-200_2024-1_2024-03-02","32343092_MKT-200_2024-1","2024-03-02","3","Desaprobado","storage limit exceeded"
"45688788_DAT-201_2024-1_2024-03-02","45688788_DAT-201_2024-1","2024-03-02","10","Aprobado","storage limit exceeded"
"45130131_IA-300_2024-1_2024-03-02","45130131_IA-300_2024-1","2024-03-02","8","Aprobado","storage limit exceeded"
"41111676_DAT-201_2024-1_2024-03-02","41111676_DAT-201_2024-1","2024-03-02","2","Desaprobado","storage limit exceeded"
"44047721_MKT-200_2024-1_2024-03-02","44047721_MKT-200_2024-1","2024-03-02","4","Aprobado","storage limit exceeded"
"37513790_UX-100_2024-1_2024-03-02","37513790_UX-100_2024-1","2024-03-02","5","Aprobado","storage limit exceeded"
"43449566_DEV-101_2024-1_2024-03-02","43449566_DEV-101_2024-1","2024-03-02","6","Aprobado","storage limit exceeded"
"31303564_DAT-201_2024-1_2024-03-03","31303564_DAT-201_2024-1","2024-03-03","6","Aprobado","storage limit exceeded"
"39074649_DEV-101_2024-1_2024-03-03","39074649_DEV-101_2024-1","2024-03-03","9","Aprobado","storage limit exceeded"
"30542692_NEG-400_2024-1_2024-03-03","30542692_NEG-400_2024-1","2024-03-03","10","Aprobado","storage limit exceeded"
"34508314_NEG-400_2024-1_2024-03-03","34508314_NEG-400_2024-1","2024-03-03","10","Aprobado","storage limit exceeded"
"38811418_NEG-400_2024-1_2024-03-03","38811418_NEG-400_2024-1","2024-03-03","6","Aprobado","storage limit exceeded"
"35891432_DAT-101_2024-1_2024-03-03","35891432_DAT-101_2024-1","2024-03-03","3","Desaprobado","storage limit exceeded"
"36163868_DAT-101_2024-1_2024-03-04","36163868_DAT-101_2024-1","2024-03-04","7","Aprobado","storage limit exceeded"
"38677145_DEV-101_2024-1_2024-03-04","38677145_DEV-101_2024-1","2024-03-04","4","Aprobado","storage limit exceeded"
"32971550_UX-100_2024-1_2024-03-04","32971550_UX-100_2024-1","2024-03-04","3","Desaprobado","storage limit exceeded"
"30348701_IA-300_2024-1_2024-03-04","30348701_IA-300_2024-1","2024-03-04","9","Aprobado","storage limit exceeded"
"41944353_DAT-101_2024-1_2024-03-04","41944353_DAT-101_2024-1","2024-03-04","7","Aprobado","storage limit exceeded"
