"ID","Codigo_Materia__c","Nombre_Materia","Abreviatura__c","STATUS"
"a0Cbm0000161GexEAE","GEN-101","Ética y Tecnología","GEN","Item Created"
"a0Cbm0000161GeyEAE","DAT-201","Estadística Avanzada","DAT","Item Created"
"a0Cbm0000161GezEAE","DEV-101","Algoritmos I","DEV","Item Created"
"a0Cbm0000161Gf0EAE","IA-300","Redes Neuronales","IA","Item Created"
"a0Cbm0000161Gf1EAE","NEG-400","Liderazgo y Negociación","NEG","Item Created"
"a0Cbm0000161Gf2EAE","MKT-200","Marketing de Contenidos","MKT","Item Created"
"a0Cbm0000161Gf3EAE","UX-100","Diseño de Experiencia de Usuario","UX","Item Created"
"a0Cbm0000161Gf4EAE","DAT-101","Introducción a los Datos","DAT","Item Created"
"a0Cbm0000161Gf5EAE","IA-400","Deep Learning Aplicado","IA","Item Created"
"a0Cbm0000161Gf6EAE","DAT-305","Big Data & Cloud","DAT","Item Created"
