ID_Importacion;Fecha_Lista;Nota;Estado
30309712-NEG400;2024-03-01;3;Desaprobado
33789545-DAT201;2024-03-01;1;Desaprobado
34250668-DEV101;2024-03-01;7;Aprobado
37706458-IA300;2024-03-01;5;Aprobado
41943395-GEN101;2024-03-01;8;Aprobado
45147679-GEN101;2024-03-01;10;Aprobado
32343092-MKT200;2024-03-02;3;Desaprobado
37513790-UX100;2024-03-02;5;Aprobado
41111676-DAT201;2024-03-02;2;Desaprobado
43449566-DEV101;2024-03-02;6;Aprobado
43539600-NEG400;2024-03-02;5;Aprobado
44047721-MKT200;2024-03-02;4;Aprobado
45130131-IA300;2024-03-02;8;Aprobado
45688788-DAT201;2024-03-02;10;Aprobado
30542692-NEG400;2024-03-03;10;Aprobado
31303564-DAT201;2024-03-03;6;Aprobado
34508314-NEG400;2024-03-03;10;Aprobado
35891432-DAT101;2024-03-03;3;Desaprobado
38811418-NEG400;2024-03-03;6;Aprobado
39074649-DEV101;2024-03-03;9;Aprobado
30348701-IA300;2024-03-04;9;Aprobado
31763113-UX100;2024-03-04;4;Aprobado
32971550-UX100;2024-03-04;3;Desaprobado
36163868-DAT101;2024-03-04;7;Aprobado
38677145-DEV101;2024-03-04;4;Aprobado
41944353-DAT101;2024-03-04;7;Aprobado
44313136-DAT101;2024-03-04;2;Desaprobado
30117903-IA300;2024-03-05;7;Aprobado
33541682-UX100;2024-03-05;4;Aprobado
35376871-NEG400;2024-03-05;1;Desaprobado
35620137-NEG400;2024-03-05;1;Desaprobado
37085503-DEV101;2024-03-05;2;Desaprobado
38207316-DEV101;2024-03-05;4;Aprobado
39696052-GEN101;2024-03-05;8;Aprobado
40578248-MKT200;2024-03-05;10;Aprobado
41068300-IA300;2024-03-05;3;Desaprobado
42500015-DAT101;2024-03-05;2;Desaprobado
44012569-GEN101;2024-03-05;9;Aprobado
45840080-DAT101;2024-03-05;10;Aprobado
31621161-MKT200;2024-03-06;7;Aprobado
35420584-IA300;2024-03-06;10;Aprobado
36369209-UX100;2024-03-06;9;Aprobado
41289550-UX100;2024-03-06;9;Aprobado
42254691-IA300;2024-03-06;8;Aprobado
42845702-MKT200;2024-03-06;5;Aprobado
43625205-UX100;2024-03-06;1;Desaprobado
44635112-IA300;2024-03-06;6;Aprobado
45656190-DAT101;2024-03-06;5;Aprobado
33952849-DAT201;2024-03-07;5;Aprobado
35824110-GEN101;2024-03-07;6;Aprobado
38194575-DAT101;2024-03-07;6;Aprobado
40033579-UX100;2024-03-07;8;Aprobado
44094966-DAT201;2024-03-07;10;Aprobado
32991581-GEN101;2024-03-08;5;Aprobado
33838303-GEN101;2024-03-08;10;Aprobado
36279807-NEG400;2024-03-08;7;Aprobado
37222211-DEV101;2024-03-08;2;Desaprobado
38750180-UX100;2024-03-08;5;Aprobado
41885509-NEG400;2024-03-08;4;Aprobado
42208457-DAT201;2024-03-08;7;Aprobado
32160000-DEV101;2024-03-09;4;Aprobado
32349994-UX100;2024-03-09;9;Aprobado
33081027-UX100;2024-03-09;9;Aprobado
34636803-MKT200;2024-03-09;4;Aprobado
37604035-DAT201;2024-03-09;1;Desaprobado
38223982-UX100;2024-03-09;2;Desaprobado
38645258-MKT200;2024-03-09;6;Aprobado
41289550-MKT200;2024-03-09;6;Aprobado
31379964-GEN101;2024-03-10;9;Aprobado
36015798-UX100;2024-03-10;10;Aprobado
36128228-MKT200;2024-03-10;6;Aprobado
37795993-DEV101;2024-03-10;1;Desaprobado
37951141-DAT101;2024-03-10;4;Aprobado
38629655-IA300;2024-03-10;3;Desaprobado
39734889-GEN101;2024-03-10;2;Desaprobado
41134242-GEN101;2024-03-10;9;Aprobado
45752068-DAT101;2024-03-10;1;Desaprobado
30507337-IA300;2024-03-11;3;Desaprobado
31187731-MKT200;2024-03-11;9;Aprobado
33155313-DAT101;2024-03-11;7;Aprobado
33195960-GEN101;2024-03-11;6;Aprobado
35524090-MKT200;2024-03-11;6;Aprobado
31370404-GEN101;2024-03-12;3;Desaprobado
32200927-MKT200;2024-03-12;10;Aprobado
35081927-DAT201;2024-03-12;5;Aprobado
35589315-DEV101;2024-03-12;6;Aprobado
35845730-NEG400;2024-03-12;5;Aprobado
35915007-DAT201;2024-03-12;8;Aprobado
42574929-IA300;2024-03-12;8;Aprobado
31554768-IA300;2024-03-13;3;Desaprobado
32150912-GEN101;2024-03-13;4;Aprobado
33988348-NEG400;2024-03-13;1;Desaprobado
34471842-NEG400;2024-03-13;7;Aprobado
40988877-NEG400;2024-03-13;9;Aprobado
42305779-DAT101;2024-03-13;5;Aprobado
32088271-MKT200;2024-03-14;1;Desaprobado
32474711-IA300;2024-03-14;6;Aprobado
36005534-DAT101;2024-03-14;5;Aprobado
36117422-DAT101;2024-03-14;7;Aprobado
41591741-NEG400;2024-03-14;1;Desaprobado
41754338-IA300;2024-03-14;1;Desaprobado
42740444-MKT200;2024-03-14;1;Desaprobado
31629308-DAT201;2024-03-15;2;Desaprobado
33293475-UX100;2024-03-15;7;Aprobado
33601032-DAT201;2024-03-15;2;Desaprobado
36868365-UX100;2024-03-15;1;Desaprobado
37275248-DAT201;2024-03-15;7;Aprobado
42763799-DAT201;2024-03-15;2;Desaprobado
